size,density,noise_level,negative_values,algorithm,negative_cycle,seconds,total_pairs,reachable_pairs,reachable_ratio,positive_pairs,positive_ratio,neg_inf_pairs,mean,median,min,max
200,0.5,0.0,True,bellman-ford,False,0.709598800051026,39800,39800,1.0,39800,1.0,0,520.3441959798995,510.0,8.0,1242.0
200,0.5,0.1,False,dijkstra,False,0.7348646000027657,39800,39800,1.0,39800,1.0,0,572.7704020100502,564.0,25.0,1298.0
200,0.5,0.1,True,bellman-ford,True,0.001925600110553205,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.5,0.5,False,dijkstra,False,0.740770100033842,39800,39800,1.0,39800,1.0,0,710.93608040201,708.0,46.0,1448.0
200,0.5,0.5,True,bellman-ford,True,0.000901999999769032,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.5,0.8,False,dijkstra,False,0.7693958999589086,39800,39800,1.0,39800,1.0,0,790.3031658291458,795.0,49.0,1555.0
200,0.5,0.8,True,bellman-ford,True,0.0005242000333964825,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.8,0.0,False,dijkstra,False,1.1604440999217331,39800,39800,1.0,39800,1.0,0,516.39608040201,509.0,4.0,1242.0
200,0.8,0.0,True,bellman-ford,False,1.1392700000433251,39800,39800,1.0,39800,1.0,0,516.39608040201,509.0,4.0,1242.0
200,0.8,0.1,False,dijkstra,False,1.195952199981548,39800,39800,1.0,39800,1.0,0,553.5335929648242,546.0,10.0,1264.0
200,0.8,0.1,True,bellman-ford,True,0.0029329999815672636,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.8,0.5,False,dijkstra,False,1.2189629999920726,39800,39800,1.0,39800,1.0,0,653.7360552763819,648.0,10.0,1357.0
200,0.8,0.5,True,bellman-ford,True,0.0008399999933317304,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.8,0.8,False,dijkstra,False,1.193771900027059,39800,39800,1.0,39800,1.0,0,712.3013819095478,710.0,10.0,1433.0
200,0.8,0.8,True,bellman-ford,True,0.0006195000605657697,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,1.0,0.0,False,dijkstra,False,1.459703200031072,39800,39800,1.0,39800,1.0,0,515.6912060301507,508.0,4.0,1242.0
200,1.0,0.0,True,bellman-ford,False,1.386740899994038,39800,39800,1.0,39800,1.0,0,515.6912060301507,508.0,4.0,1242.0
200,1.0,0.1,False,dijkstra,False,1.4611571000423282,39800,39800,1.0,39800,1.0,0,546.6255527638191,539.0,9.0,1264.0
200,1.0,0.1,True,bellman-ford,True,0.0016795000992715359,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,1.0,0.5,False,dijkstra,False,1.516931000049226,39800,39800,1.0,39800,1.0,0,630.9008793969849,623.0,10.0,1352.0
200,1.0,0.5,True,bellman-ford,True,0.00033579999580979347,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,1.0,0.8,False,dijkstra,False,1.5812062000622973,39800,39800,1.0,39800,1.0,0,680.6992211055276,676.0,10.0,1407.0
200,1.0,0.8,True,bellman-ford,True,0.000322899897582829,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.2,0.0,False,dijkstra,False,5.980784400017001,249500,249500,1.0,249500,1.0,0,540.1000040080161,524.0,2.0,1367.0
500,0.2,0.0,True,bellman-ford,False,5.576653499971144,249500,249500,1.0,249500,1.0,0,540.1000040080161,524.0,2.0,1367.0
500,0.2,0.1,False,dijkstra,False,5.953528100042604,249500,249500,1.0,249500,1.0,0,613.4769378757516,599.0,17.0,1419.0
500,0.2,0.1,True,bellman-ford,True,0.004971000016666949,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.2,0.5,False,dijkstra,False,6.005584600032307,249500,249500,1.0,249500,1.0,0,796.7064128256513,794.0,22.0,1545.0
500,0.2,0.5,True,bellman-ford,True,0.001249499968253076,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.2,0.8,False,dijkstra,False,5.969924399978481,249500,249500,1.0,249500,1.0,0,899.1653146292585,905.0,26.0,1655.0
500,0.2,0.8,True,bellman-ford,True,0.00233189994469285,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.5,0.0,False,dijkstra,False,13.204954799963161,249500,249500,1.0,249500,1.0,0,528.0722204408818,518.0,1.0,1367.0
500,0.5,0.0,True,bellman-ford,False,11.671519799972884,249500,249500,1.0,249500,1.0,0,528.0722204408818,518.0,1.0,1367.0
500,0.5,0.1,False,dijkstra,False,13.717793500050902,249500,249500,1.0,249500,1.0,0,568.8300320641282,557.0,3.0,1395.0
500,0.5,0.1,True,bellman-ford,True,0.0022728999610990286,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.5,0.5,False,dijkstra,False,14.503583500045352,249500,249500,1.0,249500,1.0,0,670.8746292585171,659.0,5.0,1477.0
500,0.5,0.5,True,bellman-ford,True,0.0013004998909309506,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.5,0.8,False,dijkstra,False,13.552841200027615,249500,249500,1.0,249500,1.0,0,728.9852064128256,721.0,5.0,1526.0
500,0.5,0.8,True,bellman-ford,True,0.0014431000454351306,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.8,0.0,False,dijkstra,False,19.72637259995099,249500,249500,1.0,249500,1.0,0,526.7026573146293,518.0,1.0,1366.0
500,0.8,0.0,True,bellman-ford,False,18.551846600021236,249500,249500,1.0,249500,1.0,0,526.7026573146293,518.0,1.0,1366.0
500,0.8,0.1,False,dijkstra,False,20.596724500064738,249500,249500,1.0,249500,1.0,0,555.4249098196393,545.0,3.0,1386.0
500,0.8,0.1,True,bellman-ford,True,0.0017966000596061349,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.8,0.5,False,dijkstra,False,22.1927893999964,249500,249500,1.0,249500,1.0,0,628.4790861723446,615.0,5.0,1437.0
500,0.8,0.5,True,bellman-ford,True,0.00223730003926903,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,0.8,0.8,False,dijkstra,False,21.051882000057958,249500,249500,1.0,249500,1.0,0,670.9098396793587,659.0,5.0,1471.0
500,0.8,0.8,True,bellman-ford,True,0.0008333000587299466,0,0,0.0,0,0.0,0,nan,nan,nan,nan
